dre:449990	no KO assigned | (RefSeq) phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:100037384	K04554 ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23] | (RefSeq) ube2j2, zgc:162164; ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)
dre:327407	no KO assigned | (RefSeq) fi06d01, wu:fi06d01; zgc:66449
dre:100001980	K09558 BCL2-associated athanogene 4 | (RefSeq) bag4, fd20a04, si:dkey-220o5.3, wu:fd20a04; BCL2-associated athanogene 4
dre:450057	K03678 exosome complex component RRP45 | (RefSeq) exosc9, im:6909054, zgc:101680; exosome component 9
dre:327415	K04893 potassium voltage-gated channel Shal-related subfamily D member 3 | (RefSeq) kcnd3, wu:fi06g01, zgc:55306; potassium voltage-gated channel, Shal-related subfamily, member 3
dre:406544	no KO assigned | (RefSeq) olfm2b, olfm2l, zgc:85900; olfactomedin 2b
dre:100007759	no KO assigned | (RefSeq) wisp2, ccn5; WNT1 inducible signaling pathway protein 2
dre:450058	K20135 factor VIII intron 22 protein | (RefSeq) si:ch211-243a20.2; zgc:101679
dre:450059	K09215 odd-skipped | (RefSeq) osr1, zgc:101674; odd-skipped related transciption factor 1
dre:30702	K02602 cytoplasmic polyadenylation element-binding protein | (RefSeq) cpeb1b, ZOR-1, cepb1b, cpeb1, fd15c06, wu:fd15c06, zorba; cytoplasmic polyadenylation element binding protein 1b
dre:559069	no KO assigned | (RefSeq) tmco6, zgc:162240; transmembrane and coiled-coil domains 6
dre:792433	no KO assigned | (RefSeq) bglap, si:ch1073-504d15.2; bone gamma-carboxyglutamate (gla) protein
dre:100037387	K06275 parvin | (RefSeq) parvg, zgc:162304; parvin, gamma
dre:450060	K17852 cytochrome P450 family 2 subfamily AA/AD | (RefSeq) cyp2aa8, zgc:101673; cytochrome P450, family 2, subfamily AA, polypeptide 8
dre:560549	K04456 RAC serine/threonine-protein kinase [EC:2.7.11.1] | (RefSeq) akt3a, akt3, si:ch211-221n23.2; v-akt murine thymoma viral oncogene homolog 3a
dre:327437	K11347 protein Jade-1 | (RefSeq) jade1, fi11a04, phf17, wu:fi11a04, zgc:55323; jade family PHD finger 1
dre:450061	K10732 GINS complex subunit 1 | (RefSeq) gins1, zgc:101672; GINS complex subunit 1 (Psf1 homolog)
dre:641421	K07375 tubulin beta | (RefSeq) tubb2b, fb40f09, wu:fb40f09, zgc:123194; tubulin, beta 2b
dre:406321	no KO assigned | (RefSeq) srfbp1, fc54c06, wu:fc54c06, zgc:56062; serum response factor binding protein 1
dre:100037390	K17726 leukotriene-B4 20-monooxygenase / phylloquinone omega-hydroxylase [EC:1.14.13.30 1.14.13.194] | (RefSeq) cyp4f3, zgc:162915; cytochrome P450, family 4, subfamily F, polypeptide 3
dre:327447	K14015 nuclear protein localization protein 4 homolog | (RefSeq) nploc4, npl4, wu:fi11f09, zgc:55988; NPL4 homolog, ubiquitin recognition factor
dre:170995	no KO assigned | (RefSeq) nitr1b, dZ169I8.4, nitr1.17, nitr1.20, nitr1.30, nitr1.31, nitr1.58, nitr1.65, nitr1b_1, nitr1b_1-2, nitr1b_2, si:dz186f8.5; novel immune-type receptor 1b
dre:100005283	no KO assigned | (RefSeq) gig2e; grass carp reovirus (GCRV)-induced gene 2e
dre:100037391	K10143 E3 ubiquitin-protein ligase RFWD2 [EC:2.3.2.27] | (RefSeq) rfwd2, zgc:163067; ring finger and WD repeat domain 2
dre:450064	no KO assigned | (RefSeq) zgc:101664
dre:327453	K19028 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1 [EC:2.7.1.105 3.1.3.46] | (RefSeq) pfkfb1, wu:fi11h10, zgc:55328; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
dre:30254	no KO assigned | (RefSeq) tbx6l, ZF-TBX6, cb123, etID309793.5, sb:cb123, tbx6, z.TBX6; T-box 6, like
dre:450065	no KO assigned | (RefSeq) cdkn2aip, zgc:101658; CDKN2A interacting protein
dre:407620	K05705 tyrosine-protein kinase Yes [EC:2.7.10.2] | (RefSeq) yes1, c-yes, p61-Yes; YES proto-oncogene 1, Src family tyrosine kinase
dre:327462	K12408 cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase [EC:1.1.1.181] | (RefSeq) hsd3b7, wu:fc37e10, wu:fi12g10, zgc:55799; hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase
dre:796025	K01011 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] | (RefSeq) fa96h11, mpst, wu:fa96h11; zgc:162544
dre:327496	no KO assigned | (RefSeq) mthfd2l, wu:fi14c12, zgc:63479; methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
dre:450067	no KO assigned | (RefSeq) ormdl3, zgc:101654; ORMDL sphingolipid biosynthesis regulator 3
dre:796595	no KO assigned | (RefSeq) agrp2; agouti related neuropeptide 2
dre:448859	K08342 cysteine protease ATG4 [EC:3.4.22.-] | (RefSeq) atg4b, apg4b; autophagy related 4B, cysteine peptidase
dre:327500	no KO assigned | (RefSeq) fi14f02, si:dkey-93n13.1, wu:fi14f02; zgc:66474
dre:450068	K12348 acid ceramidase [EC:3.5.1.23] | (RefSeq) asah1a, asah1, zgc:101637; N-acylsphingosine amidohydrolase (acid ceramidase) 1a
dre:492719	K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] | (RefSeq) me3, im:7151680, wu:fi43b04, zgc:163117; malic enzyme 3, NADP(+)-dependent, mitochondrial
dre:327510	K07194 Ras homolog gene family, member Q | (RefSeq) rhoq, wu:fi15a09, zgc:55997; ras homolog family member Q
dre:553269	no KO assigned | (RefSeq) ccnl1a, si:ch211-203b8.5; cyclin L1a
dre:327538	no KO assigned | (RefSeq) ccdc82, fi16c06, wu:fi16c06, zgc:66477; coiled-coil domain containing 82
dre:562856	no KO assigned | (RefSeq) si:dkey-281i8.; si:dkey-281i8.1
dre:554100	K03941 NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3] | (RefSeq) ndufs8b, zgc:109991; NADH dehydrogenase (ubiquinone) Fe-S protein 8b
dre:553333	K19530 junctophilin | (RefSeq) jph2, cb454, im:7137591, sb:cb454, wu:fa07c08, wu:fb74g06, zgc:162172; junctophilin 2
dre:100005885	K08694 speedy | (RefSeq) spdya, zgc:101624; speedy/RINGO cell cycle regulator family member A
dre:566441	K06688 ubiquitin-conjugating enzyme E2 C [EC:2.3.2.23] | (RefSeq) ube2c, im:7137135, zgc:123190; ubiquitin-conjugating enzyme E2C
dre:100000570	no KO assigned | (RefSeq) hirip3, fi16e03, wu:fi16e03, zgc:66480; HIRA interacting protein 3
dre:553447	no KO assigned | (RefSeq) morc3a, fb73c08, wu:fb73c08, zgc:162471; MORC family CW-type zinc finger 3a
dre:450072	K07441 beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141] | (RefSeq) alg14, zgc:101623; ALG14, UDP-N-acetylglucosaminyltransferase subunit
dre:553471	K11649 SWI/SNF related-matrix-associated actin-dependent regulator of chromatin subfamily C | (RefSeq) smarcc1b, si:dkeyp-114f9.3; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1b
dre:406454	K06737 epithelial cell adhesion molecule | (RefSeq) epcam, sb:cb6, tacstd, wu:fj17g02, zgc:110304, zgc:77119; epithelial cell adhesion molecule
dre:450074	K07921 Ras-related protein Rab-34 | (RefSeq) rab34a, rab34, zgc:101620; RAB34, member RAS oncogene family a
dre:327551	K07950 ADP-ribosylation factor-like protein 5B | (RefSeq) arl8, arl8l, wu:fi17a05, zgc:55350; ADP-ribosylation factor-like 8
dre:796450	K06691 26S proteasome regulatory subunit N13 | (RefSeq) adrm1, adrm1a, adrm1b, fa12d09, wu:fa10g10, wu:fa12d09, zgc:56107, zgc:77256; adhesion regulating molecule 1
dre:557839	no KO assigned | (RefSeq) axdnd1, si:dkey-171o17.5; axonemal dynein light chain domain containing 1
dre:100004014	K13175 THO complex subunit 6 | (RefSeq) thoc6, zgc:101618; THO complex 6
dre:327557	no KO assigned | (RefSeq) fi17d03, wu:fi17d03; zgc:66484
dre:30449	K09501 serpin peptidase inhibitor, clade H, member 1 | (RefSeq) serpinh1b, cb216, hsp, hsp47, id:ibd5060, wu:fc56b02; serpin peptidase inhibitor, clade H (heat shock protein 47), member 1b
dre:321485	K14535 transcription initiation factor TFIID subunit 9 | (RefSeq) taf9, TAF2G, im:7089279, wu:fb16h03, zgc:153410; TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor
dre:450076	K20393 PRA1 family protein 3 | (RefSeq) arl6ip5a, arl6ip5, cb937, zgc:101611; ADP-ribosylation factor-like 6 interacting protein 5a
dre:562660	no KO assigned | (RefSeq) commd9, im:7142515, si:ch211-154e15.3, si:ch211-15d5.2, zgc:136565; COMM domain containing 9
dre:30769	K06753 roundabout, axon guidance receptor 1 | (RefSeq) robo1, SAG4A; roundabout, axon guidance receptor, homolog 1 (Drosophila)
dre:327572	no KO assigned | (RefSeq) rasgef1ba, rasgef1b, wu:fi18a09, zgc:66487; RasGEF domain family, member 1Ba
dre:30473	K09332 retina and anterior neural fold homeobox protein | (RefSeq) rx2; retinal homeobox gene 2
dre:562963	K03217 YidC/Oxa1 family membrane protein insertase | (RefSeq) oxa1l, zgc:163091, zgc:171949; oxidase (cytochrome c) assembly 1-like
dre:450078	K08683 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178] | (RefSeq) hsd17b10, hadh2, im:6899159, wu:fj61f03, zgc:101605; hydroxysteroid (17-beta) dehydrogenase 10
dre:564790	K12381 arylsulfatase G [EC:3.1.6.-] | (RefSeq) arsg, si:dkey-220f10.7; arylsulfatase G
dre:437016	K00857 thymidine kinase [EC:2.7.1.21] | (RefSeq) tk2, zgc:100948; thymidine kinase 2, mitochondrial
dre:327574	K10455 kelch-like protein 18 | (RefSeq) klhl18, wu:fi18c08, zgc:55359; kelch-like family member 18
dre:493606	K09553 stress-induced-phosphoprotein 1 | (RefSeq) stip1, im:6911394, wu:fb36h09, wu:fi33b05, zgc:92133; stress-induced phosphoprotein 1
dre:450080	K10842 CDK-activating kinase assembly factor MAT1 | (RefSeq) mnat1, zgc:101599; MNAT CDK-activating kinase assembly factor 1
dre:568244	no KO assigned | (RefSeq) tmem135, im:6901522, zgc:162425; transmembrane protein 135
dre:30038	no KO assigned | (RefSeq) sox19a, cb799, fc66c01, sox19, wu:fc66c01; SRY (sex determining region Y)-box 19a
dre:327577	K07840 DIRAS family, GTP-binding Ras-like 1 | (RefSeq) diras1a, diras1, fi18d11, wu:fi18d11, zgc:55360; DIRAS family, GTP-binding RAS-like 1a
dre:450081	K10870 RAD51-like protein 2 | (RefSeq) rad51c, zgc:101596; RAD51 paralog C
dre:58063	no KO assigned | (RefSeq) hoxc13b, hoxf13; homeobox C13b
dre:327593	no KO assigned | (RefSeq) vwa9, fi19c12, wu:fi19c12, zgc:55794; von Willebrand factor A domain containing 9
dre:556372	no KO assigned | (RefSeq) si:ch211-196f5.2
dre:450082	K08371 cytochrome b-561 domain containing protein 2 | (RefSeq) cyb561d2, zgc:101593; cytochrome b561 family, member D2
dre:327597	K15044 Arf-GAP domain and FG repeats-containing protein 1 | (RefSeq) agfg1a, agfg1, hrb, wu:fb14f05, wu:fi19d11; ArfGAP with FG repeats 1a
dre:450084	K01920 glutathione synthase [EC:6.3.2.3] | (RefSeq) gss, sb:cb814, zgc:101574; glutathione synthetase
dre:101887082	K04966 transient receptor potential cation channel subfamily C member 3 | (RefSeq) trpc3; transient receptor potential cation channel, subfamily C, member 3
dre:30475	no KO assigned | (RefSeq) erh, zgc:86761; enhancer of rudimentary homolog (Drosophila)
dre:450085	no KO assigned | (RefSeq) golph3, wu:fj66a10, zgc:101573, zgc:110223; golgi phosphoprotein 3
dre:570575	no KO assigned | (RefSeq) si:ch211-215h12.6, zK70P6.1; si:dkey-70p6.1
dre:30685	K00669 arylalkylamine N-acetyltransferase [EC:2.3.1.87] | (RefSeq) aanat2, AA-NAT; arylalkylamine N-acetyltransferase 2
dre:30317	K09305 homeobox protein HoxA/B/C5 | (RefSeq) hoxb5a, ZF-21, ZF21, hox-2.1, hox-B5, hoxb5, wu:fc38c09, z-18; homeobox B5a
dre:550140	no KO assigned | (RefSeq) ccdc9, im:6893135, im:7152076, zgc:152785; coiled-coil domain containing 9
dre:100151531	K09223 growth factor independent 1 | (RefSeq) gfi1b, si:ch211-231o6.2; growth factor independent 1B transcription repressor
dre:664766	no KO assigned | (RefSeq) p33monox; zgc:123105
dre:30612	K04662 bone morphogenetic protein 4 | (RefSeq) bmp4, bmp-4, zbmp-4, zgc:100779; bone morphogenetic protein 4
dre:327625	K13126 polyadenylate-binding protein | (RefSeq) pabpc1l, CH1073-323J3.1, fi20g03, pab-2, wu:fi20g03, zgc:55855; poly(A) binding protein, cytoplasmic 1-like
dre:557239	K20909 anthrax toxin receptor | (RefSeq) antxr2a, si:ch211-116k3.1; anthrax toxin receptor 2a
dre:569564	K19947 protein-methionine sulfoxide oxidase MICAL [EC:1.14.13.-] | (RefSeq) mical2b, MICAL-2, sb:cb94, si:ch211-192p3.1, si:ch211-192p3.2, wu:fi76d02; microtubule associated monoxygenase, calponin and LIM domain containing 2b
dre:100001603	no KO assigned | (RefSeq) brinp3a.2, brinp3a, si:ch211-205j18.2; bone morphogenetic protein/retinoic acid inducible neural-specific 3a, tandem duplicate 2
dre:83415	K19472 homeobox protein SIX2 | (RefSeq) six2a, six2.1, wu:fj04e08, zgc:91945; SIX homeobox 2a
dre:553710	no KO assigned | (RefSeq) crygm2d1, crygEM2-1, zgc:109890, zgc:112327, zgc:173493; crystallin, gamma M2d1
dre:327650	K04630 guanine nucleotide-binding protein G(i) subunit alpha | (RefSeq) gnai2b, fi21e06, gnai2, wu:fi21e06, zgc:56690; guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2b
dre:556710	K03134 transcription initiation factor TFIID subunit 10 | (RefSeq) taf10, im:6899389, si:dkey-72l14.8; TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor
dre:114462	K04540 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 | (RefSeq) gng3, [g]3, wu:fj56b02, zgc:92852; guanine nucleotide binding protein (G protein), gamma 3
dre:447924	no KO assigned | (RefSeq) wu:fb51g08; zgc:103678
dre:557469	K15031 transcription termination factor, mitochondrial | (RefSeq) mterf2, mterfd3, si:dkey-174i19.2, zgc:162777; mitochondrial transcription termination factor 2
dre:333933	no KO assigned | (RefSeq) shcbp1, cb251, im:7145675, sb:cb251, wu:fi22a03, zgc:66476; SHC SH2-domain binding protein 1
dre:373085	K04043 molecular chaperone DnaK | (RefSeq) hspa9, cb740, crs, hspa9b, wu:fc14d08, wu:fc27c10, wu:fc38a06; heat shock protein 9
dre:558534	K10905 ATR interacting protein | (RefSeq) atrip, si:dkey-42i9.5; ATR interacting protein
dre:393561	K05666 ATP-binding cassette, subfamily C (CFTR/MRP), member 2 | (RefSeq) abcc2, zgc:66072; ATP-binding cassette, sub-family C (CFTR/MRP), member 2
dre:100004597	no KO assigned | (RefSeq) phf23b, wu:fi23e08, zgc:110484, zgc:66469; PHD finger protein 23b
dre:30762	K06752 major histocompatibility complex, class II | (RefSeq) mhc2dab, DAB, DAB1, Dare-DAB, dab1*01, dab101, dab2*01, dab201, dab3*01, dab301, dab4*01, dab4*02, dab401, dab402, si:dkeyp-2h4.1; major histocompatibility complex class II DAB gene
dre:335616	K20356 anterior gradient protein 2 | (RefSeq) agr2, sb:eu228, wu:fj29g05, zgc:112187; anterior gradient 2
dre:333974	K11205 glutamate--cysteine ligase regulatory subunit | (RefSeq) gclm, GLCLR, id:ibd3182, wu:fi24c07, zgc:55903; glutamate-cysteine ligase, modifier subunit
dre:751763	no KO assigned | (RefSeq) bbc3; BCL2 binding component 3
dre:64271	K05105 Eph receptor A4 [EC:2.7.10.1] | (RefSeq) epha4a, EphA4, apha3, ek2, epha3, rtk1, sb:cb246, zek2, zgc:109882; eph receptor A4a
dre:503885	no KO assigned | (RefSeq) fut9d, im:6895158, zgc:162337, zgc:171333; fucosyltransferase 9d
dre:556304	K04908 potassium voltage-gated channel Eag-related subfamily H member 5 | (RefSeq) kcnh5a, kcnh5, si:dkey-100h21.1; potassium voltage-gated channel, subfamily H (eag-related), member 5a
dre:333979	K07293 tyrosine-protein phosphatase non-receptor type 11 [EC:3.1.3.48] | (RefSeq) ptpn11a, fa14b09, ptpn11, shp2, wu:fa14b09, wu:fi24f03, zgc:55388; protein tyrosine phosphatase, non-receptor type 11, a
dre:368771	K05654 ATP-binding cassette, subfamily B (MDR/TAP), member 3 | (RefSeq) abcb3l1, TAP2, abcb3, si:dz179b20.1, si:dz262K18.3; ATP-binding cassette, sub-family B (MDR/TAP), member 3 like 1
dre:100302660	no KO assigned | (RefSeq) lyrm4, si:ch73-86n6.2; LYR motif containing 4
dre:558420	K11964 pellino [EC:2.3.2.27] | (RefSeq) peli1b, peli1, wu:fd12d01, zgc:153297; pellino E3 ubiquitin protein ligase 1b
dre:333987	K13363 FXYD domain-containing ion transport regulator 6 | (RefSeq) fxyd6, si:dkey-36i7.1, wu:fi25c12, zgc:63716; FXYD domain containing ion transport regulator 6
dre:564470	K05119 anaplastic lymphoma kinase [EC:2.7.10.1] | (RefSeq) ltk, ALK, TYK1, si:dz107o16.1; leukocyte receptor tyrosine kinase
dre:100170813	K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] | (RefSeq) galnt18a, galntl4a, zgc:194153; UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 18a
dre:555238	K11470 polycomb group RING finger protein 6 | (RefSeq) pcgf6, im:7144322, si:ch211-67n3.7; polycomb group ring finger 6
dre:474321	K01836 phosphoacetylglucosamine mutase [EC:5.4.2.3] | (RefSeq) pgm3, wu:fc08c11, wu:fc39c03, zgc:91932; phosphoglucomutase 3
dre:572258	K03018 DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6] | (RefSeq) polr3a, im:7139382, wu:fb81e09; polymerase (RNA) III (DNA directed) polypeptide A
dre:559822	no KO assigned | (RefSeq) zgc:162184
dre:333999	K00181 O-palmitoleoyl transferase [EC:2.3.1.250] | (RefSeq) porcnl, PORCN, wu:fi26a04, zgc:55392; porcupine homolog like
dre:553266	K04439 beta-arrestin | (RefSeq) arrb1; arrestin, beta 1
dre:474322	no KO assigned | (RefSeq) wu:fd14c02; zgc:92590
dre:334050	K06943 nucleolar GTP-binding protein | (RefSeq) gtpbp4, fi28d07, wu:fi28d07, zgc:55757; GTP binding protein 4
dre:560385	no KO assigned | (RefSeq) pald1b, zgc:162303; phosphatase domain containing, paladin 1b
dre:474323	K07839 Ras-related protein Rap-2C | (RefSeq) rap2c, fb54a01, ik:tdsubc_1f11, wu:fb54a01, xx:tdsubc_1f11, zgc:101579; RAP2C, member of RAS oncogene family
dre:560433	K17783 mitochondrial FAD-linked sulfhydryl oxidase [EC:1.8.3.2] | (RefSeq) gfer, im:7163713, zgc:162159; growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)
dre:494158	no KO assigned | (RefSeq) anxa1c, ANX_Ic, anx1c, sb:cb276, wu:fa22e03, wu:fj17g03, zgc:123146, zgc:86853; annexin A1c
dre:334055	K03130 transcription initiation factor TFIID subunit 5 | (RefSeq) taf5l, fi28g02, wu:fi28g02, zgc:63765; TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor
dre:562538	K17866 diphthamide biosynthesis protein 2 | (RefSeq) dph2, id:ibd5058, zgc:162269; DPH2 homolog (S. cerevisiae)
dre:474324	K13196 zinc finger protein ubi-d4 | (RefSeq) dpf2, im:7146797, zgc:101789; D4, zinc and double PHD fingers family 2
dre:562009	no KO assigned | (RefSeq) spint2, wu:fb52h04, wu:fe24a06, zgc:153795; serine peptidase inhibitor, Kunitz type, 2
dre:334058	no KO assigned | (RefSeq) wtap, wu:fi29a09, zgc:66202; Wilms tumor 1 associated protein
dre:563264	no KO assigned | (RefSeq) ubtd1a, ubtd1, zgc:162907; ubiquitin domain containing 1a
dre:474325	K00893 deoxycitidine kinase [EC:2.7.1.74] | (RefSeq) dck, wu:fc15f06, zgc:101771; deoxycytidine kinase
dre:566539	K01001 UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15] | (RefSeq) dpagt1, si:ch211-117m20.1; dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
dre:568001	K00850 6-phosphofructokinase 1 [EC:2.7.1.11] | (RefSeq) pfkmb, im:7137110, wu:fc58g11; phosphofructokinase, muscle b
dre:474329	K12592 exosome complex protein LRP1 | (RefSeq) c1d, zgc:103509; C1D nuclear receptor corepressor
dre:568512	K05849 solute carrier family 8 (sodium/calcium exchanger) | (RefSeq) slc8a4a; solute carrier family 8 (sodium/calcium exchanger), member 4a
dre:334082	K00453 tryptophan 2,3-dioxygenase [EC:1.13.11.11] | (RefSeq) tdo2b, Tdo2, fi30d08, tdo2l, wu:fi30d08, zgc:63488; tryptophan 2,3-dioxygenase b
dre:474331	K07252 dolichyldiphosphatase [EC:3.6.1.43] | (RefSeq) dolpp1, zgc:101585; dolichyldiphosphatase 1
dre:572256	K17199 Ras and EF-hand domain-containing protein | (RefSeq) rasef; zgc:162879
dre:334086	K09489 heat shock 70kDa protein 4 | (RefSeq) hspa4b, hspa4, wu:fi30e11, zgc:55743, zgc:77413; heat shock protein 4b
dre:30396	K09428 E74-like factor 1/2/4 | (RefSeq) ef1, fb05d07, wu:fb05d07, zef1; E74-like factor 1 (ets domain transcription factor)
dre:573145	K13210 far upstream element-binding protein | (RefSeq) khsrp, sb:eu1000, wu:fb25b12, wu:fc10e10, wu:fc94c12, zgc:163038; KH-type splicing regulatory protein
dre:260440	K05853 Ca2+ transporting ATPase, sarcoplasmic/endoplasmic reticulum [EC:3.6.3.8] | (RefSeq) atp2a1, cb279, serca, serca1, wu:cegs655, wu:fb17h11, wu:fb19b10, zgc:92110; ATPase, Ca++ transporting, cardiac muscle, fast twitch 1
dre:570808	K11713 geranylgeranyl transferase type-1 subunit beta [EC:2.5.1.59] | (RefSeq) pggt1b, zgc:114070; protein geranylgeranyltransferase type I, beta subunit
dre:100149890	no KO assigned | (RefSeq) abi3bpb, abi3bp, wu:fi31h06, zgc:55418; ABI family, member 3 (NESH) binding protein b
dre:798022	K01081 5'-nucleotidase [EC:3.1.3.5] | (RefSeq) nt5c1ba, zgc:163054; 5'-nucleotidase, cytosolic IB a
dre:368619	K06087 claudin | (RefSeq) cldn10a, cldn10, dZ52I16.3, si:busm1-52i16.3, si:dz52i16.3; claudin 10a
dre:334110	no KO assigned | (RefSeq) tmem39b, fi31h12, wu:fi31h12, zgc:55419; transmembrane protein 39B
dre:100001914	K06689 ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23] | (RefSeq) ube2d4, zgc:162263; ubiquitin-conjugating enzyme E2D 4 (putative)
dre:368620	K05673 ATP-binding cassette, subfamily C (CFTR/MRP), member 4 | (RefSeq) abcc4, MRP, cb1019, dZ52I16.4, si:busm1-52i16.4, si:dz202l16.5, si:dz52i16.4; ATP-binding cassette, sub-family C (CFTR/MRP), member 4
dre:30438	K09298 homeobox protein HoxA/C/D13 | (RefSeq) hoxa13b, HOXA13, Hoxa-13, wu:fa66g07, zgc:110514; homeobox A13b
dre:334121	K10703 very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134] | (RefSeq) hacd2, ptplb, wu:fi32c08, zgc:55421; 3-hydroxyacyl-CoA dehydratase 2
dre:100007897	K06071 protein kinase N [EC:2.7.11.13] | (RefSeq) pkn1b, zgc:162290; protein kinase N1b
dre:57936	K10185 T-box protein 20 | (RefSeq) tbx20, ZF-TBX20, cb826, hrt; T-box 20
dre:474351	K04984 transient receptor potential cation channel subfamily A member 1 | (RefSeq) trpa1a, ANKTM1, trpa1; transient receptor potential cation channel, subfamily A, member 1a
dre:555760	K17409 small subunit ribosomal protein S30 | (RefSeq) mrps30, im:6907149, zgc:163093; mitochondrial ribosomal protein S30
dre:334133	K10575 ubiquitin-conjugating enzyme E2 G1 [EC:2.3.2.23] | (RefSeq) ube2g1a, ube2g1, ube2g2, wu:fi33c04, zgc:55974; ubiquitin-conjugating enzyme E2G 1a (UBC7 homolog, yeast)
dre:555881	no KO assigned | (RefSeq) im:6906813; zgc:162634
dre:321738	no KO assigned | (RefSeq) sap30bp, fb33d03, wu:fb33d03, zgc:55340; SAP30 binding protein
dre:334161	K03842 beta-1,4-mannosyltransferase [EC:2.4.1.142] | (RefSeq) alg1, wu:fi34b12, zgc:66221; ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase
dre:338246	no KO assigned | (RefSeq) bmper, cvl2, id:ibd5071; BMP binding endothelial regulator
dre:405770	K04519 interleukin 1 beta | (RefSeq) il1b, il1-b, zgc:111873; interleukin 1, beta
dre:556847	no KO assigned | (RefSeq) cuedc1b, zgc:162271; CUE domain containing 1b
dre:100000769	K09541 crystallin, alpha A | (RefSeq) cryaa, wu:fc06h04, zgc:92036; crystallin, alpha A
dre:334189	no KO assigned | (RefSeq) insig1, fb55a03, fi35b10, wu:fb55a03, wu:fi35b10, zgc:55439; insulin induced gene 1
dre:560569	no KO assigned | (RefSeq) GOLPH1, cb366, sb:cb366, wu:fa04b12, wu:fd14b03, wu:fi29h06; zgc:162964
dre:100150664	K05099 proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1] | (RefSeq) met, c-met, cmet; MET proto-oncogene, receptor tyrosine kinase
dre:334191	K20102 YTH domain-containing family protein | (RefSeq) ythdf3, wu:fi35c09, zgc:55441; YTH N(6)-methyladenosine RNA binding protein 3
dre:569872	no KO assigned | (RefSeq) igsf21a, zgc:112341; immunoglobin superfamily, member 21a
dre:797143	no KO assigned | (RefSeq) mbd1a, fc83c09, im:7136442, si:dkey-242k1.6, wu:fc39d12, wu:fc83c09; methyl-CpG binding domain protein 1a
dre:402856	K03004 DNA-directed RNA polymerase I subunit RPA43 | (RefSeq) twistnb; TWIST neighbor
dre:560815	K16914 bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 [EC:1.14.11.- 1.14.11.27] | (RefSeq) im:7141580, no66; zgc:162967
dre:334195	K00789 S-adenosylmethionine synthetase [EC:2.5.1.6] | (RefSeq) mat1a, wu:fi35e01, zgc:55442; methionine adenosyltransferase I, alpha
dre:402922	K16288 receptor-interacting serine/threonine-protein kinase 5 [EC:2.7.11.1] | (RefSeq) dstyk, ripk5, zgc:136421; dual serine/threonine and tyrosine protein kinase
dre:561324	K04240 neuropeptide FF receptor 1 | (RefSeq) npffr1l3, zgc:162926; neuropeptide FF receptor 1 like 3
dre:334208	K00102 D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4] | (RefSeq) ldhd, wu:fi36b04, zgc:55447; lactate dehydrogenase D
dre:561782	no KO assigned | (RefSeq) zgc:162160
dre:449658	K14972 PAX-interacting protein 1 | (RefSeq) paxip1, wu:fa04b06, zgc:92593; PAX interacting (with transcription-activation domain) protein 1
dre:30248	K08057 calreticulin | (RefSeq) calr3a, calr, zgc:85636; calreticulin 3a
dre:368448	K18037 tyrosine-protein phosphatase non-receptor type 4 [EC:3.1.3.48] | (RefSeq) ptpn4a, ptpn4, si:busm1-37o5.1, si:dz37o5.1; protein tyrosine phosphatase, non-receptor type 4a
